"PropId","Name","Price","Rate","property","carpet.area","status","floor","transaction","facing","overlooking","ownership","parking","bathroom","balcony","city","location","Rate_per_sqft","bedroom","carpet_area_sqft","total_area"
"50","4 BHK Flat for Sale in Guru Apartment, Dwarka Sector 6, New Delhi",38500000,"₹10511 per sqft ","","800 sqft","Ready to Move","1 out of 4","Resale","East","Garden/Park, Main Road","Freehold","1 Covered",4,2,"Delhi"," Guru Apartment",10511,4,800,3662.82941680145
"51","3 BHK Flat for Sale in MRG Crown, Sector 106, Gurgaon",17500000,"₹5753 per sqft ","","715 sqft","Poss. by Feb '26","1 out of 4","New Property","East","Garden/Park, Main Road","Freehold","1 Covered",3,1,"Gurgaon"," MRG Crown",5753,3,715,3041.89118720667
"52","1 BHK Flat for Sale in Uttam Nagar, New Delhi",2100000,"₹5759 per sqft ","","1444 sqft","Ready to Move","4 out of 28","New Property","North","Main Road","Freehold","1 Covered",2,2,"Delhi"," Uttam Nagar",5759,1,1444,364.646640041674
"53","3 BHK Flat for Sale in Indirapuram, Ghaziabad",8350000,"₹15312 per sqft ","","1900 sqft","Ready to Move","1 out of 4","New Property","East","Main Road","Freehold","2 Covered",2,3,"Ghaziabad"," Indirapuram",15312,3,1900,545.323928944619
"54","3 BHK Flat for Sale in DLF Capital Greens 1 and 2, Moti Nagar, Kirti Nagar, New Delhi",24500000,"₹5000 per sqft ","","360 sqft","Ready to Move","3 out of 4","Resale","North - East","Garden/Park, Main Road","Freehold","",3,1,"Delhi"," DLF Capital Greens 1 and 2",5000,3,360,4900
"55","2 BHK Flat for Sale in Shakti Khand, Indirapuram, Ghaziabad",4500000,"₹3765 per sqft ","","3500 sqft","Ready to Move","3 out of 9","New Property","East","Main Road","Freehold","",2,1,"Ghaziabad"," Shakti Khand",3765,2,3500,1195.21912350598
"56","2 BHK Flat for Sale in Prestige Apartments, Chhattarpur, New Delhi",3200000,"₹10529 per sqft ","","","Ready to Move","16 out of 20","New Property","East","Main Road","Freehold","",2,2,"Delhi"," Prestige Apartments",10529,2,NA,303.922499762561
"57","3 BHK Flat for Sale in Shapoorji Pallonji Joyville Gurugram, Sector 102, Gurgaon",19500000,"₹14856 per sqft ","","","Ready to Move","1 out of 4","Resale","East","Main Road","Freehold","",3,4,"Gurgaon"," Shapoorji Pallonji Joyville Gurugram",14856,3,NA,1312.60096930533
"58","3 BHK Flat for Sale in M3M Merlin, Sector 67, Gurgaon",35000000,"₹5128 per sqft ","","","Ready to Move","9 out of 38","Resale","East","Garden/Park, Pool","Freehold","",4,1,"Gurgaon"," M3M Merlin",5128,3,NA,6825.27301092044
"60","5 BHK Flat for Sale in Tulip Monsella, Golf Course Road, Gurgaon",92500000,"","","","Poss. by Jun '27","","Resale","","","","",6,NA,"Gurgaon"," Tulip Monsella",NA,5,NA,NA
"61","3 BHK Flat for Sale in Aashirwad Homes, Neharpar, Faridabad",10500000,"₹7000 per sqft ","Aashirwad Home Developers","1500 sqft","Ready to Move","3 out of 4","New Property","North","Garden/Park","Freehold","2 Covered",3,2,"Faridabad"," Aashirwad Homes",7000,3,1500,1500
"62","3 BHK Flat for Sale in M3M Woodshire, Sector 107, Gurgaon",13000000,"₹6691 per sqft ","Dwarka Expressway Homes","1720 sqft","Ready to Move","8 out of 15","Resale","East","Garden/Park, Pool, Main Road","Freehold","1 Covered,",3,4,"Gurgaon"," M3M Woodshire",6691,3,1720,1942.90838439695
"63","4 BHK Flat for Sale in RWA Sushant lok, Sushant Lok-I, Sector 43, Gurgaon",27500000,"₹8488 per sqft ","Premium Estates","2500 sqft","Ready to Move","1 out of 4","New Property","North - East","Main Road","Freehold","3 Covered",4,2,"Gurgaon"," RWA Sushant lok",8488,4,2500,3239.86804901037
"64","4 BHK Flat for Sale in Sushant Lok 1 Block C, Gurgaon",55000000,"₹9773 per sqft ","Ruchika","502 sqyrd","Ready to Move","3 out of 4","New Property","North - East","Garden/Park","Freehold","2 Open",3,3,"Gurgaon"," Sushant Lok 1 Block C",9773,4,502,5627.74992325796
"65","4 BHK Flat for Sale in Himachal Dauladhar, Dwarka Sector 5, New Delhi",21500000,"₹9737 per sqft ","Treveni Properties","1800 sqft","Ready to Move","4 out of 7","Resale","East","Main Road","Freehold","1 Open",3,2,"Delhi"," Himachal Dauladhar",9737,4,1800,2208.07230153025
"66","3 BHK Flat for Sale in Sector 63A, Gurgaon",18500000,"₹25926 per sqft ","Ambawata Properties","1750 sqft","Ready to Move","1 out of 4","New Property","North","Garden/Park, Main Road","Freehold","1 Covered,",3,2,"Gurgaon"," Sector 63A",25926,3,1750,713.569389801743
"67","4 BHK Flat for Sale in Executive Floor, Greater Kailash, New Delhi",70000000,"₹10706 per sqft ","Silver Homz","2300 sqft","Ready to Move","3 out of 4","New Property","North - East","Garden/Park","Freehold","1 Covered",4,2,"Delhi"," Executive Floor",10706,4,2300,6538.38968802541
"68","3 BHK Flat for Sale in IES Officers Apartment, Dwarka Sector 4, New Delhi",18200000,"₹10900 per sqft ","Bajaj Properties","1600 sqft","Ready to Move","4 out of 4","Resale","North - East","Garden/Park, Main Road","Freehold","1 Covered,",2,2,"Delhi"," IES Officers Apartment",10900,3,1600,1669.7247706422
"69","3 BHK Flat for Sale in Hind Apartment, Dwarka Sector 5, New Delhi",21800000,"₹7344 per sqft ","A One Realtors","1800 sqft","Ready to Move","8 out of 8","Resale","North - East","Garden/Park, Main Road","Freehold","1 Covered",3,3,"Delhi"," Hind Apartment",7344,3,1800,2968.40958605664
"70","4 BHK Flat for Sale in Vatika Sovereign Next, Sector 82A, Gurgaon",23500000,"₹11250 per sqft ","Bhoomi Bazar","2350 sqft","Ready to Move","10 out of 22","New Property","East","Garden/Park, Pool","Freehold","4 Covered,",4,3,"Gurgaon"," Vatika Sovereign Next",11250,4,2350,2088.88888888889
"71","4 BHK Flat for Sale in The Vimal Apartment, Dwarka Sector 12, New Delhi",18000000,"₹20202 per sqft ","Sachdeva Associates","1550 sqft","Ready to Move","1 out of 8","Resale","East","Garden/Park, Main Road","Freehold","2 Covered",3,3,"Delhi"," The Vimal Apartment",20202,4,1550,891.000891000891
"72","3 BHK House for Sale in Palam Vihar Pocket B Gurgaon",12000000,"₹6263 per sqft ","Balaji Properties","66 sqyrd","Ready to Move","3 out of 3","Resale","East","Main Road","Freehold","2 Covered",3,3,"Gurgaon"," Palam Vihar Pocket B Gurgaon",6263,3,66,1916.01468944595
"73","2 BHK Flat for Sale in Dwarka Mor, New Delhi",3100000,"₹46393 per sqft ","Khatu Shyam Builders","50 sqyrd","Ready to Move","2 out of 4","New Property","West","Garden/Park","Freehold","2 Covered",2,1,"Delhi"," Dwarka Mor",46393,2,50,66.8204254952256
"74","10 BHK Villa for Sale in New Friends Colony New Delhi",200000000,"₹8231 per sqft ","Shriram Properties","479 sqyrd","Ready to Move","3 out of 3","Resale","South - East","Garden/Park, Main Road","Freehold","1 Covered",10,8,"Delhi"," New Friends Colony New Delhi",8231,10,479,24298.3841574535
"75","2 BHK Flat for Sale in DDA Metro View Apartments, Dwarka Sector 13, New Delhi",10700000,"₹4861 per sqft ","Jai Ambay Associates","1100 sqft","Ready to Move","Ground out of 4","Resale","North","Garden/Park","Freehold","1 Covered,",2,2,"Delhi"," DDA Metro View Apartments",4861,2,1100,2201.1931701296
"76","2 BHK Flat for Sale in Govindpuri Main, New Delhi",3500000,"₹11849 per sqft ","Builders World Developer","75 sqyrd","Ready to Move","12 out of 34","New Property","North - East","Garden/Park, Pool, Main Road","Freehold","1 Open",1,4,"Delhi"," Govindpuri Main",11849,2,75,295.383576673137
"77","3 BHK Flat for Sale in Whiteland The ASPEN, Sector 76, Delhi Gurgaon Expressway, Gurgaon",34800000,"₹10303 per sqft ","Hind Realty Solutions","2937 sqft","Poss. by Nov '27","1 out of 4","New Property","East","Main Road","Freehold","1 Covered",3,2,"Gurgaon"," Whiteland The ASPEN",10303,3,2937,3377.6569931088
"78","3 BHK Flat for Sale in RWA Residential Society, Sector 46, Gurgaon",17000000,"₹3443 per sqft ","Parnami Infratech Pvt. Ltd","1405 sqft","Ready to Move","16 out of 20","New Property","North - East","Main Road","Freehold","2 Covered",3,3,"Gurgaon"," RWA Residential Society",3443,3,1405,4937.55445832123
"79","3 BHK Flat for Sale in Sector 86, Faridabad",6500000,"₹4915 per sqft ","Salasar Estate","1688 sqft","Ready to Move","1 out of 4","Resale","North - East","Main Road","Freehold","1 Covered",2,1,"Faridabad"," Sector 86",4915,3,1688,1322.48219735504
"80","3 BHK Flat for Sale in Dwarka Mor, New Delhi",5160000,"₹15152 per sqft ","OM Documentation & Associates ","1040 sqft","Ready to Move","20 out of 28","New Property","East","Garden/Park, Pool, Main Road","Freehold","2 Covered",2,2,"Delhi"," Dwarka Mor",15152,3,1040,340.549102428722
"82","2 BHK Flat for Sale in Emerald Heights, Sector 88, Faridabad",7600000,"₹6483 per sqft ","Raj Properties","1004 sqft","Ready to Move","3 out of 4","Resale","North","Garden/Park, Main Road","Freehold","1 Open",2,2,"Faridabad"," Emerald Heights",6483,2,1004,1172.29677618387
"83","3 BHK Flat for Sale in Signature Global Park 4 and 5, Sohna, Gurgaon",7650000,"₹23214 per sqft ","Agarwal Realtors","1450 sqft","Ready to Move","1 out of 4","Resale","North - West","Garden/Park","Freehold","1 Covered,",2,2,"Gurgaon"," Signature Global Park 4 and 5",23214,3,1450,329.542517446369
"85","3 BHK Flat for Sale in Experion Windchants, Sector 112, Gurgaon",36000000,"₹19853 per sqft ","Deal Realtors","2850 sqft","Ready to Move","9 out of 20","Resale","North - East","Garden/Park, Pool","Freehold","",3,3,"Gurgaon"," Experion Windchants",19853,3,2850,1813.32796050975
"86","4 BHK Flat for Sale in DLF The Summit, Sector 54, Gurgaon",67500000,"₹6500 per sqft ","Mehta Propmart Pvt. Ltd.","1220 sqft","Ready to Move","10 out of 20","Resale","North - East","Garden/Park, Pool, Main Road","Freehold","",4,3,"Gurgaon"," DLF The Summit",6500,4,1220,10384.6153846154
"87","3 BHK Flat for Sale in PAREENA COBAN RESIDENCES, Sector 99A, Delhi Gurgaon Expressway, Gurgaon",12900000,"₹8889 per sqft ","Aar Pee Ess Associates","1600 sqft","Ready to Move","Ground out of 3","New Property","North - East","Garden/Park, Main Road","Freehold","",3,2,"Gurgaon"," PAREENA COBAN RESIDENCES",8889,3,1600,1451.23185960175
"88","3 BHK Flat for Sale in DDA Metro View Apartments, Dwarka Sector 13, New Delhi",16000000,"₹9529 per sqft ","Bhoomi Real Estate (Reg.)","1500 sqft","Ready to Move","4 out of 7","New Property","North - East","Garden/Park, Main Road","Freehold","",2,2,"Delhi"," DDA Metro View Apartments",9529,3,1500,1679.08489873019
"89","3 BHK Flat for Sale in Anusandhan Apartment, Dwarka Sector 6, New Delhi",16200000,"₹4699 per sqft ","Negi Associates","1292 sqft","Ready to Move","19 out of 19","Resale","","Garden/Park, Pool, Main Road","Freehold","",2,4,"Delhi"," Anusandhan Apartment",4699,3,1292,3447.5420302192
"90","2 BHK Flat for Sale in The Golden Gate, Wave City, Ghaziabad",6070000,"","Investment Mantra Homes","","Poss. by Dec '23","","New Property","","","","",2,NA,"Ghaziabad"," The Golden Gate",NA,2,NA,NA
"91","4 BHK Flat for Sale in Apna Villa Apartment, Dwarka Sector 10, New Delhi",24500000,"₹11136 per sqft ","Sehrawat Properties Pvt. Ltd.","1700 sqft","Ready to Move","2 out of 9","Resale","North","Garden/Park","Freehold","2 Open",4,3,"Delhi"," Apna Villa Apartment",11136,4,1700,2200.07183908046
"92","3 BHK Flat for Sale in Fakhruddin Apartments, Dwarka Sector 10, New Delhi",19500000,"₹9286 per sqft ","R S Associates","1750 sqft","Ready to Move","5 out of 7","Resale","North - East","Garden/Park, Main Road","Freehold","1 Covered,",4,3,"Delhi"," Fakhrudd Apartments",9286,3,1750,2099.93538660349
"94","3 BHK Flat for Sale in Umang Monsoon Breeze Phase 2, Sector 78, Gurgaon",9950000,"₹5750 per sqft ","DC Jain Real Estate Services Pvt. Ltd.","1500 sqft","Ready to Move","4 out of 12","New Property","North","Garden/Park, Pool, Main Road","Freehold","1 Covered",3,3,"Gurgaon"," Umang Monsoon Breeze Phase 2",5750,3,1500,1730.4347826087
"95","3 BHK Flat for Sale in DDA Platinum Heights, Dwarka Sector 18, New Delhi",17300000,"₹9611 per sqft ","Devbhoomi Realtors","1600 sqft","Ready to Move","3 out of 10","Resale","North - East","Garden/Park","Freehold","2 Open",2,3,"Delhi"," DDA Platinum Heights",9611,3,1600,1800.02080948913
